"","month","age_sex","value","quantile"
"1",10,"F_15-24",6.67665402470344e-05,0.025
"2",11,"F_15-24",0.00064332221211567,0.025
"3",12,"F_15-24",0.00162267720867477,0.025
"4",13,"F_15-24",0.00292774424189158,0.025
"5",14,"F_15-24",0.00442499769263552,0.025
"6",15,"F_15-24",0.00592357558789096,0.025
"7",16,"F_15-24",0.00788522575073944,0.025
"8",17,"F_15-24",0.009845289167163,0.025
"9",18,"F_15-24",0.0120165567950548,0.025
"10",19,"F_15-24",0.0142881561792089,0.025
"11",20,"F_15-24",0.0170785857874898,0.025
"12",21,"F_15-24",0.0203336102824774,0.025
"13",22,"F_15-24",0.0242375428915786,0.025
"14",23,"F_15-24",0.0282269047924787,0.025
"15",24,"F_15-24",0.0317902804470742,0.025
"16",25,"F_15-24",0.0352187569380901,0.025
"17",26,"F_15-24",0.0391595346273232,0.025
"18",27,"F_15-24",0.0431663864274009,0.025
"19",28,"F_15-24",0.0473667145167881,0.025
"20",29,"F_15-24",0.0513077055284189,0.025
"21",30,"F_15-24",0.0553419837492725,0.025
"22",31,"F_15-24",0.0596732617406021,0.025
"23",32,"F_15-24",0.0643506371848946,0.025
"24",33,"F_15-24",0.0683070393544768,0.025
"25",34,"F_15-24",0.07261244721091,0.025
"26",35,"F_15-24",0.0764456154906177,0.025
"27",36,"F_15-24",0.0802659573776933,0.025
"28",37,"F_15-24",0.0843132350896776,0.025
"29",38,"F_15-24",0.0891116209403926,0.025
"30",39,"F_15-24",0.0940073947928085,0.025
"31",40,"F_15-24",0.0994172369492078,0.025
"32",41,"F_15-24",0.105318016806239,0.025
"33",42,"F_15-24",0.110977063582905,0.025
"34",43,"F_15-24",0.116077582863955,0.025
"35",44,"F_15-24",0.121283281891026,0.025
"36",45,"F_15-24",0.126269743388143,0.025
"37",46,"F_15-24",0.13147693966382,0.025
"38",47,"F_15-24",0.137762408420251,0.025
"39",48,"F_15-24",0.14451461623379,0.025
"40",49,"F_15-24",0.151429316236947,0.025
"41",50,"F_15-24",0.158065583197671,0.025
"42",51,"F_15-24",0.16510527767754,0.025
"43",52,"F_15-24",0.173559441420952,0.025
"44",53,"F_15-24",0.181606939063281,0.025
"45",54,"F_15-24",0.191340866036455,0.025
"46",55,"F_15-24",0.198183833427516,0.025
"47",56,"F_15-24",0.204335595760372,0.025
"48",57,"F_15-24",0.211019819046736,0.025
"49",58,"F_15-24",0.218252330952264,0.025
"50",59,"F_15-24",0.224498127942443,0.025
"51",60,"F_15-24",0.229932187837143,0.025
"52",61,"F_15-24",0.235294112339619,0.025
"53",62,"F_15-24",0.240521894862107,0.025
"54",63,"F_15-24",0.246308182937413,0.025
"55",64,"F_15-24",0.250454375811668,0.025
"56",65,"F_15-24",0.254462342117168,0.025
"57",66,"F_15-24",0.25841413306152,0.025
"58",10,"F_25-34",6.5573257081846e-05,0.025
"59",11,"F_25-34",0.000645687952968862,0.025
"60",12,"F_25-34",0.00163719707819737,0.025
"61",13,"F_25-34",0.00299413770824146,0.025
"62",14,"F_25-34",0.00456928233525992,0.025
"63",15,"F_25-34",0.00635766993534203,0.025
"64",16,"F_25-34",0.00820992962039078,0.025
"65",17,"F_25-34",0.010226659675226,0.025
"66",18,"F_25-34",0.0122837935604515,0.025
"67",19,"F_25-34",0.0144882311876606,0.025
"68",20,"F_25-34",0.0166829600648924,0.025
"69",21,"F_25-34",0.0188134714076339,0.025
"70",22,"F_25-34",0.0210870712571264,0.025
"71",23,"F_25-34",0.023460900976826,0.025
"72",24,"F_25-34",0.0261174769888075,0.025
"73",25,"F_25-34",0.0295055037617376,0.025
"74",26,"F_25-34",0.0328692098095247,0.025
"75",27,"F_25-34",0.0367237527319134,0.025
"76",28,"F_25-34",0.0405878555254722,0.025
"77",29,"F_25-34",0.0444158479304457,0.025
"78",30,"F_25-34",0.0497692810279959,0.025
"79",31,"F_25-34",0.0550698234192852,0.025
"80",32,"F_25-34",0.0606691657212734,0.025
"81",33,"F_25-34",0.0673493059549144,0.025
"82",34,"F_25-34",0.0719632631717854,0.025
"83",35,"F_25-34",0.0766961282209957,0.025
"84",36,"F_25-34",0.0813570089243475,0.025
"85",37,"F_25-34",0.0859417203200646,0.025
"86",38,"F_25-34",0.0917718357410915,0.025
"87",39,"F_25-34",0.0981605082302688,0.025
"88",40,"F_25-34",0.105298235620831,0.025
"89",41,"F_25-34",0.112911026336025,0.025
"90",42,"F_25-34",0.121158060360545,0.025
"91",43,"F_25-34",0.127311639995802,0.025
"92",44,"F_25-34",0.133195261441056,0.025
"93",45,"F_25-34",0.139452201851554,0.025
"94",46,"F_25-34",0.146347862272004,0.025
"95",47,"F_25-34",0.15215958333486,0.025
"96",48,"F_25-34",0.157879099432331,0.025
"97",49,"F_25-34",0.164313301792556,0.025
"98",50,"F_25-34",0.169917517491102,0.025
"99",51,"F_25-34",0.176259163902843,0.025
"100",52,"F_25-34",0.183821368567087,0.025
"101",53,"F_25-34",0.192051026644991,0.025
"102",54,"F_25-34",0.200368760050181,0.025
"103",55,"F_25-34",0.208205075830169,0.025
"104",56,"F_25-34",0.21561486981981,0.025
"105",57,"F_25-34",0.223703666962349,0.025
"106",58,"F_25-34",0.232460903226354,0.025
"107",59,"F_25-34",0.239834148333562,0.025
"108",60,"F_25-34",0.248492222986836,0.025
"109",61,"F_25-34",0.25627640993293,0.025
"110",62,"F_25-34",0.263959202254424,0.025
"111",63,"F_25-34",0.271558180871061,0.025
