"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000179406457851699,0.025
"2",11,"F_15-24",0.0018431445386775,0.025
"3",12,"F_15-24",0.00532761444893079,0.025
"4",13,"F_15-24",0.00979203817297015,0.025
"5",14,"F_15-24",0.0157288712467619,0.025
"6",15,"F_15-24",0.0223272194296894,0.025
"7",16,"F_15-24",0.0329896644910397,0.025
"8",17,"F_15-24",0.0478798268999701,0.025
"9",18,"F_15-24",0.0702508712139099,0.025
"10",19,"F_15-24",0.0915186997828774,0.025
"11",20,"F_15-24",0.108111922042774,0.025
"12",21,"F_15-24",0.126229869673916,0.025
"13",22,"F_15-24",0.148233600340474,0.025
"14",23,"F_15-24",0.163473517097697,0.025
"15",24,"F_15-24",0.176900530985583,0.025
"16",25,"F_15-24",0.185552914713434,0.025
"17",26,"F_15-24",0.193209736266487,0.025
"18",27,"F_15-24",0.202242627658069,0.025
"19",28,"F_15-24",0.210912234203011,0.025
"20",29,"F_15-24",0.219504435110929,0.025
"21",30,"F_15-24",0.226892021091683,0.025
"22",31,"F_15-24",0.233181543090284,0.025
"23",32,"F_15-24",0.239287827863316,0.025
"24",33,"F_15-24",0.244461804526792,0.025
"25",34,"F_15-24",0.25080312791996,0.025
"26",35,"F_15-24",0.257033917977283,0.025
"27",36,"F_15-24",0.263683192438597,0.025
"28",37,"F_15-24",0.270292177471926,0.025
"29",38,"F_15-24",0.276059247788881,0.025
"30",39,"F_15-24",0.281976749532395,0.025
"31",40,"F_15-24",0.286397522400577,0.025
"32",41,"F_15-24",0.291053601321241,0.025
"33",42,"F_15-24",0.295656566068187,0.025
"34",43,"F_15-24",0.300548420796825,0.025
"35",44,"F_15-24",0.305247980525092,0.025
"36",45,"F_15-24",0.310331687050401,0.025
"37",46,"F_15-24",0.315306717752668,0.025
"38",47,"F_15-24",0.320243409102389,0.025
"39",48,"F_15-24",0.325439076239239,0.025
"40",49,"F_15-24",0.330580789969757,0.025
"41",50,"F_15-24",0.335928299503625,0.025
"42",51,"F_15-24",0.341471424925926,0.025
"43",52,"F_15-24",0.347000796718392,0.025
"44",53,"F_15-24",0.351956550583624,0.025
"45",54,"F_15-24",0.356872260987484,0.025
"46",55,"F_15-24",0.362476589565372,0.025
"47",56,"F_15-24",0.368435832360099,0.025
"48",57,"F_15-24",0.374113029365013,0.025
"49",58,"F_15-24",0.379980419578788,0.025
"50",59,"F_15-24",0.385626173350566,0.025
"51",60,"F_15-24",0.392939258169144,0.025
"52",61,"F_15-24",0.399365664549627,0.025
"53",10,"F_25-34",0.000165985704948175,0.025
"54",11,"F_25-34",0.00188129533112256,0.025
"55",12,"F_25-34",0.00559419416350913,0.025
"56",13,"F_25-34",0.00963003626889721,0.025
"57",14,"F_25-34",0.0150891042098732,0.025
"58",15,"F_25-34",0.0214782955510685,0.025
"59",16,"F_25-34",0.028670944774452,0.025
"60",17,"F_25-34",0.0431126744033116,0.025
"61",18,"F_25-34",0.0558934884442936,0.025
"62",19,"F_25-34",0.0700143615132907,0.025
"63",20,"F_25-34",0.0962408273519056,0.025
"64",21,"F_25-34",0.126983489222457,0.025
"65",22,"F_25-34",0.150514331164335,0.025
"66",23,"F_25-34",0.162967394793414,0.025
"67",24,"F_25-34",0.175115658473996,0.025
"68",25,"F_25-34",0.184003019814778,0.025
"69",26,"F_25-34",0.191593770549742,0.025
"70",27,"F_25-34",0.200858209360687,0.025
"71",28,"F_25-34",0.210221888556971,0.025
"72",29,"F_25-34",0.218139077497472,0.025
"73",30,"F_25-34",0.224820835627969,0.025
"74",31,"F_25-34",0.230637564521128,0.025
"75",32,"F_25-34",0.237552683707024,0.025
"76",33,"F_25-34",0.244120910443102,0.025
"77",34,"F_25-34",0.250467846027535,0.025
"78",35,"F_25-34",0.256743456386121,0.025
