"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000171874330452528,0.025
"2",11,"F_15-24",0.00188061641944393,0.025
"3",12,"F_15-24",0.00553687481537413,0.025
"4",13,"F_15-24",0.00990943441447686,0.025
"5",14,"F_15-24",0.0161297287756138,0.025
"6",15,"F_15-24",0.0233161982384837,0.025
"7",16,"F_15-24",0.0336105938799571,0.025
"8",17,"F_15-24",0.0486891688976329,0.025
"9",18,"F_15-24",0.0727780233391383,0.025
"10",19,"F_15-24",0.0952832085181422,0.025
"11",20,"F_15-24",0.112399236361398,0.025
"12",21,"F_15-24",0.132449234382116,0.025
"13",22,"F_15-24",0.155533788171884,0.025
"14",23,"F_15-24",0.172794140006793,0.025
"15",24,"F_15-24",0.18818030576272,0.025
"16",25,"F_15-24",0.197729222385554,0.025
"17",26,"F_15-24",0.206388980018007,0.025
"18",27,"F_15-24",0.216131346581529,0.025
"19",28,"F_15-24",0.225993108985775,0.025
"20",29,"F_15-24",0.235754112896961,0.025
"21",30,"F_15-24",0.244381027661037,0.025
"22",31,"F_15-24",0.252061585476112,0.025
"23",32,"F_15-24",0.259101161483286,0.025
"24",33,"F_15-24",0.265066421105506,0.025
"25",34,"F_15-24",0.272835175275304,0.025
"26",35,"F_15-24",0.280618095493555,0.025
"27",36,"F_15-24",0.288631176770743,0.025
"28",37,"F_15-24",0.297641630968553,0.025
"29",38,"F_15-24",0.304759716797692,0.025
"30",39,"F_15-24",0.311420751909917,0.025
"31",40,"F_15-24",0.316788683930726,0.025
"32",41,"F_15-24",0.32285410211778,0.025
"33",42,"F_15-24",0.328389859097995,0.025
"34",43,"F_15-24",0.33487213459135,0.025
"35",44,"F_15-24",0.340857216613692,0.025
"36",45,"F_15-24",0.34686103697093,0.025
"37",46,"F_15-24",0.352734739228946,0.025
"38",47,"F_15-24",0.359172936720676,0.025
"39",48,"F_15-24",0.365684952053011,0.025
"40",49,"F_15-24",0.37256202775588,0.025
"41",50,"F_15-24",0.379596998513093,0.025
"42",51,"F_15-24",0.38662747198185,0.025
"43",52,"F_15-24",0.393508977207935,0.025
"44",53,"F_15-24",0.399827212289262,0.025
"45",54,"F_15-24",0.406439168582049,0.025
"46",55,"F_15-24",0.413611191712434,0.025
"47",56,"F_15-24",0.42031915012204,0.025
"48",57,"F_15-24",0.427555758023826,0.025
"49",58,"F_15-24",0.435104955990992,0.025
"50",59,"F_15-24",0.442113363479041,0.025
"51",60,"F_15-24",0.449984792088155,0.025
"52",61,"F_15-24",0.457000212850435,0.025
"53",10,"F_25-34",0.000191778007379239,0.025
"54",11,"F_25-34",0.00179934012925648,0.025
"55",12,"F_25-34",0.00542902746651648,0.025
"56",13,"F_25-34",0.0095733438026224,0.025
"57",14,"F_25-34",0.0151133771191937,0.025
"58",15,"F_25-34",0.0217965969531175,0.025
"59",16,"F_25-34",0.0287691848696356,0.025
"60",17,"F_25-34",0.0433014648829919,0.025
"61",18,"F_25-34",0.0563111210019857,0.025
"62",19,"F_25-34",0.0715318435410809,0.025
"63",20,"F_25-34",0.097673618872572,0.025
"64",21,"F_25-34",0.132950326233205,0.025
"65",22,"F_25-34",0.157468238067701,0.025
"66",23,"F_25-34",0.171605228048576,0.025
"67",24,"F_25-34",0.18468419978767,0.025
"68",25,"F_25-34",0.194431241179211,0.025
"69",26,"F_25-34",0.203273526399122,0.025
"70",27,"F_25-34",0.213532575418084,0.025
"71",28,"F_25-34",0.224325260478033,0.025
"72",29,"F_25-34",0.233848590605617,0.025
"73",30,"F_25-34",0.241615260845525,0.025
"74",31,"F_25-34",0.248659916890681,0.025
"75",32,"F_25-34",0.256819093788539,0.025
"76",33,"F_25-34",0.264521102295124,0.025
"77",34,"F_25-34",0.271843954673499,0.025
"78",35,"F_25-34",0.28002531369985,0.025
"79",36,"F_25-34",0.287860202600936,0.025
"80",37,"F_25-34",0.295538675085835,0.025
"81",38,"F_25-34",0.301548198899812,0.025
"82",39,"F_25-34",0.307747326543845,0.025
"83",40,"F_25-34",0.314066548977181,0.025
"84",41,"F_25-34",0.320413221694516,0.025
"85",42,"F_25-34",0.325978301499034,0.025
"86",43,"F_25-34",0.332278012705406,0.025
"87",44,"F_25-34",0.338584346615812,0.025
"88",45,"F_25-34",0.344302548889023,0.025
"89",46,"F_25-34",0.350406283830963,0.025
"90",47,"F_25-34",0.357328508621465,0.025
"91",48,"F_25-34",0.363451525371136,0.025
"92",49,"F_25-34",0.36992071807416,0.025
"93",50,"F_25-34",0.37687305465119,0.025
"94",51,"F_25-34",0.383126794994056,0.025
"95",52,"F_25-34",0.389858074350193,0.025
"96",53,"F_25-34",0.39649355297347,0.025
"97",54,"F_25-34",0.402341111279994,0.025
"98",55,"F_25-34",0.40868662878346,0.025
"99",56,"F_25-34",0.415576043959886,0.025
"100",57,"F_25-34",0.422048707606991,0.025
