"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000147692916645631,0.025
"2",11,"F_15-24",0.00165858639767145,0.025
"3",12,"F_15-24",0.00494054165763192,0.025
"4",13,"F_15-24",0.00963889770375521,0.025
"5",14,"F_15-24",0.015571363229921,0.025
"6",15,"F_15-24",0.0228769185394993,0.025
"7",16,"F_15-24",0.0314129642961645,0.025
"8",17,"F_15-24",0.0406723554875804,0.025
"9",18,"F_15-24",0.0517485318595414,0.025
"10",19,"F_15-24",0.0620266134425229,0.025
"11",20,"F_15-24",0.0728908670728003,0.025
"12",21,"F_15-24",0.0843161216305733,0.025
"13",22,"F_15-24",0.0954521938864844,0.025
"14",23,"F_15-24",0.106583500781669,0.025
"15",24,"F_15-24",0.116010109454228,0.025
"16",25,"F_15-24",0.123112858422255,0.025
"17",26,"F_15-24",0.129147417629196,0.025
"18",27,"F_15-24",0.135299097986408,0.025
"19",28,"F_15-24",0.142037875079632,0.025
"20",29,"F_15-24",0.149484422474641,0.025
"21",30,"F_15-24",0.157253310120517,0.025
"22",31,"F_15-24",0.163984062757993,0.025
"23",32,"F_15-24",0.170732557498363,0.025
"24",33,"F_15-24",0.177330133785914,0.025
"25",34,"F_15-24",0.182772368169505,0.025
"26",35,"F_15-24",0.18764275529436,0.025
"27",36,"F_15-24",0.193002117904838,0.025
"28",37,"F_15-24",0.197541376871501,0.025
"29",38,"F_15-24",0.203377744159173,0.025
"30",39,"F_15-24",0.209294094898051,0.025
"31",40,"F_15-24",0.215814875698012,0.025
"32",41,"F_15-24",0.221983263109453,0.025
"33",42,"F_15-24",0.228177722836555,0.025
"34",43,"F_15-24",0.235320179812629,0.025
"35",44,"F_15-24",0.242303649633297,0.025
"36",45,"F_15-24",0.24946707136078,0.025
"37",46,"F_15-24",0.256906211971385,0.025
"38",47,"F_15-24",0.265575018029501,0.025
"39",48,"F_15-24",0.273215600751223,0.025
"40",49,"F_15-24",0.281311763419603,0.025
"41",50,"F_15-24",0.290989669370908,0.025
"42",51,"F_15-24",0.300873994973668,0.025
"43",52,"F_15-24",0.31124188592263,0.025
"44",53,"F_15-24",0.322329048148998,0.025
"45",54,"F_15-24",0.336022534118092,0.025
"46",55,"F_15-24",0.344507657017747,0.025
"47",56,"F_15-24",0.35414165624558,0.025
"48",57,"F_15-24",0.363819061645319,0.025
"49",58,"F_15-24",0.374093411214217,0.025
"50",59,"F_15-24",0.383986425265415,0.025
"51",60,"F_15-24",0.391796113986039,0.025
"52",61,"F_15-24",0.398974080645675,0.025
"53",62,"F_15-24",0.40572176477579,0.025
"54",63,"F_15-24",0.41287231069259,0.025
"55",64,"F_15-24",0.419632937815378,0.025
"56",65,"F_15-24",0.426184491227722,0.025
"57",10,"F_25-34",0.000170855224448371,0.025
"58",11,"F_25-34",0.00164250826077205,0.025
"59",12,"F_25-34",0.00467869404451463,0.025
"60",13,"F_25-34",0.00871762186454511,0.025
"61",14,"F_25-34",0.0141861540000584,0.025
"62",15,"F_25-34",0.0207735088127909,0.025
"63",16,"F_25-34",0.029124276637861,0.025
"64",17,"F_25-34",0.0385437716410774,0.025
"65",18,"F_25-34",0.0502498288775049,0.025
"66",19,"F_25-34",0.0621164526114475,0.025
"67",20,"F_25-34",0.0820910227671964,0.025
"68",21,"F_25-34",0.093317481758535,0.025
"69",22,"F_25-34",0.103989548622101,0.025
"70",23,"F_25-34",0.1162501546802,0.025
"71",24,"F_25-34",0.125319838222838,0.025
"72",25,"F_25-34",0.133558353650467,0.025
"73",26,"F_25-34",0.141483492706265,0.025
"74",27,"F_25-34",0.149342810222532,0.025
"75",28,"F_25-34",0.157552218896334,0.025
"76",29,"F_25-34",0.164956637420636,0.025
"77",30,"F_25-34",0.171433535873674,0.025
"78",31,"F_25-34",0.17751199572149,0.025
"79",32,"F_25-34",0.184183287859187,0.025
"80",33,"F_25-34",0.190124667520624,0.025
"81",34,"F_25-34",0.196219511504356,0.025
"82",35,"F_25-34",0.202311611329406,0.025
"83",36,"F_25-34",0.208415813968521,0.025
"84",37,"F_25-34",0.213947190293508,0.025
"85",38,"F_25-34",0.220218819568933,0.025
"86",39,"F_25-34",0.22638360467509,0.025
"87",40,"F_25-34",0.23262589302612,0.025
"88",41,"F_25-34",0.238928726844601,0.025
"89",42,"F_25-34",0.245419304319015,0.025
"90",43,"F_25-34",0.253602078229274,0.025
"91",44,"F_25-34",0.261598216943621,0.025
"92",45,"F_25-34",0.270058130131464,0.025
"93",46,"F_25-34",0.278111666636113,0.025
"94",47,"F_25-34",0.286313343436167,0.025
"95",48,"F_25-34",0.294029822823184,0.025
"96",49,"F_25-34",0.303137934701681,0.025
"97",50,"F_25-34",0.313478909954779,0.025
"98",51,"F_25-34",0.322666758867447,0.025
"99",52,"F_25-34",0.332158020185471,0.025
"100",53,"F_25-34",0.342283003836923,0.025
"101",54,"F_25-34",0.351924908613039,0.025
"102",55,"F_25-34",0.361294790301325,0.025
"103",56,"F_25-34",0.372651206331698,0.025
"104",57,"F_25-34",0.384342248245708,0.025
"105",58,"F_25-34",0.396547764313565,0.025
"106",59,"F_25-34",0.40961929917993,0.025
"107",60,"F_25-34",0.420938314216979,0.025
"108",61,"F_25-34",0.432178618655954,0.025
"109",62,"F_25-34",0.445140783207323,0.025
"110",63,"F_25-34",0.456547271522072,0.025
"111",64,"F_25-34",0.464564206018219,0.025
"112",65,"F_25-34",0.471201184281149,0.025
"113",10,"F_35-44",0.000252508694414209,0.025
"114",11,"F_35-44",0.00243393157585122,0.025
"115",12,"F_35-44",0.00547539841303613,0.025
"116",13,"F_35-44",0.0093245525940831,0.025
"117",14,"F_35-44",0.0143213616115743,0.025
"118",15,"F_35-44",0.0196722830991974,0.025
"119",16,"F_35-44",0.0278792165491485,0.025
"120",17,"F_35-44",0.0364118974078694,0.025
"121",18,"F_35-44",0.0464406280932097,0.025
"122",19,"F_35-44",0.0572479323634016,0.025
"123",20,"F_35-44",0.0693736915940615,0.025
"124",21,"F_35-44",0.0812809706415554,0.025
"125",22,"F_35-44",0.0941176440001045,0.025
"126",23,"F_35-44",0.105884364182223,0.025
"127",24,"F_35-44",0.117572588402777,0.025
"128",25,"F_35-44",0.125462712841546,0.025
"129",26,"F_35-44",0.133066595627087,0.025
"130",27,"F_35-44",0.14094488085987,0.025
"131",28,"F_35-44",0.149253200778743,0.025
"132",29,"F_35-44",0.156963788706998,0.025
"133",30,"F_35-44",0.163673413384146,0.025
"134",31,"F_35-44",0.17040914944715,0.025
"135",32,"F_35-44",0.177082513321245,0.025
"136",33,"F_35-44",0.184598183946073,0.025
"137",34,"F_35-44",0.191438452531417,0.025
"138",35,"F_35-44",0.198829060134134,0.025
"139",36,"F_35-44",0.206986834845707,0.025
"140",37,"F_35-44",0.214571655726704,0.025
"141",38,"F_35-44",0.222739150899004,0.025
"142",39,"F_35-44",0.231357944290533,0.025
"143",40,"F_35-44",0.24004066665734,0.025
"144",41,"F_35-44",0.249249653042303,0.025
"145",42,"F_35-44",0.257584432340995,0.025
"146",43,"F_35-44",0.267207934696699,0.025
"147",44,"F_35-44",0.276433233729142,0.025
"148",45,"F_35-44",0.285059934475679,0.025
"149",46,"F_35-44",0.294040110330027,0.025
"150",47,"F_35-44",0.30410280710535,0.025
"151",48,"F_35-44",0.314346096426107,0.025
"152",49,"F_35-44",0.324938403545978,0.025
"153",50,"F_35-44",0.335538346052506,0.025
"154",51,"F_35-44",0.34600056372931,0.025
"155",52,"F_35-44",0.357214258326238,0.025
"156",53,"F_35-44",0.367984280761104,0.025
"157",54,"F_35-44",0.380503295811359,0.025
"158",55,"F_35-44",0.393282361720716,0.025
"159",56,"F_35-44",0.404282426808508,0.025
"160",57,"F_35-44",0.415707917201121,0.025
"161",58,"F_35-44",0.428211916919256,0.025
"162",59,"F_35-44",0.440744898466054,0.025
"163",60,"F_35-44",0.451521545642074,0.025
"164",61,"F_35-44",0.462885935599233,0.025
"165",62,"F_35-44",0.473093688708481,0.025
"166",63,"F_35-44",0.483711259479284,0.025
"167",64,"F_35-44",0.492917893724477,0.025
"168",65,"F_35-44",0.500102159301316,0.025
"169",10,"F_45-54",0.000191910436767921,0.025
"170",11,"F_45-54",0.00195347662949429,0.025
"171",12,"F_45-54",0.00537026138123992,0.025
"172",13,"F_45-54",0.0105806141354634,0.025
"173",14,"F_45-54",0.0164058365410511,0.025
"174",15,"F_45-54",0.0229800011410028,0.025
"175",16,"F_45-54",0.0343954391241147,0.025
"176",17,"F_45-54",0.0427058974205459,0.025
"177",18,"F_45-54",0.0526007020698396,0.025
"178",19,"F_45-54",0.0627104489228356,0.025
"179",20,"F_45-54",0.0736994847134527,0.025
"180",21,"F_45-54",0.083278432953453,0.025
"181",22,"F_45-54",0.0929574894942078,0.025
"182",23,"F_45-54",0.102380719518795,0.025
"183",24,"F_45-54",0.110239469593568,0.025
"184",25,"F_45-54",0.117402023812762,0.025
"185",26,"F_45-54",0.124519740061501,0.025
"186",27,"F_45-54",0.131357505141919,0.025
"187",28,"F_45-54",0.138984156660529,0.025
"188",29,"F_45-54",0.146383068335536,0.025
"189",30,"F_45-54",0.156396822778064,0.025
"190",31,"F_45-54",0.165772885502779,0.025
"191",32,"F_45-54",0.176419236715037,0.025
"192",33,"F_45-54",0.18704784406712,0.025
"193",34,"F_45-54",0.194897821832338,0.025
"194",35,"F_45-54",0.202960013388162,0.025
"195",36,"F_45-54",0.211183907969898,0.025
"196",37,"F_45-54",0.219091872567681,0.025
"197",38,"F_45-54",0.226487912071423,0.025
"198",39,"F_45-54",0.234081632685023,0.025
"199",40,"F_45-54",0.24155440335227,0.025
"200",41,"F_45-54",0.249249656633472,0.025
"201",42,"F_45-54",0.257076660119569,0.025
"202",43,"F_45-54",0.264164317723126,0.025
"203",44,"F_45-54",0.270651920852174,0.025
"204",45,"F_45-54",0.277524008463613,0.025
"205",46,"F_45-54",0.284761980643824,0.025
"206",47,"F_45-54",0.292989561517784,0.025
"207",48,"F_45-54",0.301139277712364,0.025
"208",49,"F_45-54",0.309049943323966,0.025
"209",50,"F_45-54",0.317083874491415,0.025
"210",51,"F_45-54",0.325137499204927,0.025
"211",52,"F_45-54",0.333214214891188,0.025
"212",53,"F_45-54",0.342125054077327,0.025
"213",54,"F_45-54",0.350594174922385,0.025
"214",55,"F_45-54",0.360755850303866,0.025
"215",56,"F_45-54",0.370008240530281,0.025
"216",57,"F_45-54",0.379555333178204,0.025
"217",58,"F_45-54",0.390184617272845,0.025
"218",59,"F_45-54",0.400965030130966,0.025
"219",60,"F_45-54",0.40975927361253,0.025
"220",61,"F_45-54",0.418575943795966,0.025
"221",62,"F_45-54",0.428206081809697,0.025
"222",63,"F_45-54",0.435994736408872,0.025
"223",64,"F_45-54",0.443036742887062,0.025
"224",65,"F_45-54",0.449933527814494,0.025
"225",10,"F_55-69",0.000123480089201645,0.025
"226",11,"F_55-69",0.00138761415902896,0.025
"227",12,"F_55-69",0.00364149919192368,0.025
"228",13,"F_55-69",0.00658342332556377,0.025
"229",14,"F_55-69",0.0100245652431454,0.025
"230",15,"F_55-69",0.0137053969195035,0.025
"231",16,"F_55-69",0.0175736071575671,0.025
"232",17,"F_55-69",0.0216501326863047,0.025
"233",18,"F_55-69",0.0259579043300032,0.025
"234",19,"F_55-69",0.0303143026774607,0.025
"235",20,"F_55-69",0.034982183931868,0.025
"236",21,"F_55-69",0.040136664515031,0.025
"237",22,"F_55-69",0.0452719414596523,0.025
"238",23,"F_55-69",0.0501475719183346,0.025
"239",24,"F_55-69",0.0551638840285116,0.025
"240",25,"F_55-69",0.0599422134393565,0.025
"241",26,"F_55-69",0.0652543722106476,0.025
"242",27,"F_55-69",0.0704352234065314,0.025
"243",28,"F_55-69",0.0756044089474607,0.025
"244",29,"F_55-69",0.0813718594904889,0.025
"245",30,"F_55-69",0.0873379148708224,0.025
"246",31,"F_55-69",0.093043624459947,0.025
"247",32,"F_55-69",0.0991112525843871,0.025
"248",33,"F_55-69",0.105336155522722,0.025
"249",34,"F_55-69",0.110560335229359,0.025
"250",35,"F_55-69",0.116320864002138,0.025
"251",36,"F_55-69",0.122162233297771,0.025
"252",37,"F_55-69",0.127277549686135,0.025
"253",38,"F_55-69",0.131957347541336,0.025
"254",39,"F_55-69",0.137080751648222,0.025
"255",40,"F_55-69",0.14202331289948,0.025
"256",41,"F_55-69",0.147507198080172,0.025
"257",42,"F_55-69",0.152706940728203,0.025
"258",43,"F_55-69",0.157619745463161,0.025
"259",44,"F_55-69",0.162660497574579,0.025
"260",45,"F_55-69",0.167851150517411,0.025
"261",46,"F_55-69",0.173134410101579,0.025
"262",47,"F_55-69",0.177858483370069,0.025
"263",48,"F_55-69",0.183451617406218,0.025
"264",49,"F_55-69",0.188843814326779,0.025
"265",50,"F_55-69",0.193867223513201,0.025
"266",51,"F_55-69",0.198847205960138,0.025
"267",52,"F_55-69",0.204242166369901,0.025
"268",53,"F_55-69",0.209815047831458,0.025
"269",54,"F_55-69",0.215269782106722,0.025
"270",55,"F_55-69",0.220827401932638,0.025
"271",56,"F_55-69",0.22640782083829,0.025
"272",57,"F_55-69",0.231811296185287,0.025
"273",58,"F_55-69",0.236692846378181,0.025
"274",59,"F_55-69",0.242219236825824,0.025
"275",60,"F_55-69",0.247654964139394,0.025
"276",61,"F_55-69",0.252491101468967,0.025
"277",62,"F_55-69",0.258056684803753,0.025
"278",63,"F_55-69",0.262665373571919,0.025
"279",64,"F_55-69",0.267663275456556,0.025
"280",65,"F_55-69",0.272051168443195,0.025
"281",10,"M_15-24",0.00026105000704515,0.025
"282",11,"M_15-24",0.00233815359153696,0.025
"283",12,"M_15-24",0.00614167092075502,0.025
"284",13,"M_15-24",0.0111307894923041,0.025
"285",14,"M_15-24",0.0170945443896032,0.025
"286",15,"M_15-24",0.0233693665402692,0.025
"287",16,"M_15-24",0.0344238820152486,0.025
"288",17,"M_15-24",0.0504582561230669,0.025
"289",18,"M_15-24",0.0711341828585067,0.025
"290",19,"M_15-24",0.106212557607239,0.025
"291",20,"M_15-24",0.121726393237157,0.025
"292",21,"M_15-24",0.134401582408975,0.025
"293",22,"M_15-24",0.145723419643806,0.025
"294",23,"M_15-24",0.156944861088706,0.025
"295",24,"M_15-24",0.167548327448617,0.025
"296",25,"M_15-24",0.17574127555276,0.025
"297",26,"M_15-24",0.181878039393509,0.025
"298",27,"M_15-24",0.188589374623116,0.025
"299",28,"M_15-24",0.195196726530808,0.025
"300",29,"M_15-24",0.201297181916085,0.025
"301",30,"M_15-24",0.207501412817404,0.025
"302",31,"M_15-24",0.214412067959452,0.025
"303",32,"M_15-24",0.221258169020801,0.025
"304",33,"M_15-24",0.228794634122724,0.025
"305",34,"M_15-24",0.236057338878502,0.025
"306",35,"M_15-24",0.242321835183908,0.025
"307",36,"M_15-24",0.248911225099717,0.025
"308",37,"M_15-24",0.255677289383214,0.025
"309",38,"M_15-24",0.26329023442349,0.025
"310",39,"M_15-24",0.270959067768461,0.025
"311",40,"M_15-24",0.278660212917187,0.025
"312",41,"M_15-24",0.28641392586531,0.025
"313",42,"M_15-24",0.29521812576176,0.025
"314",43,"M_15-24",0.306498450048728,0.025
"315",44,"M_15-24",0.317418059678125,0.025
"316",45,"M_15-24",0.328622654320592,0.025
"317",46,"M_15-24",0.339359293959688,0.025
"318",47,"M_15-24",0.349998104188138,0.025
"319",48,"M_15-24",0.36225944087416,0.025
"320",49,"M_15-24",0.374605296004249,0.025
"321",50,"M_15-24",0.38953059257477,0.025
"322",51,"M_15-24",0.400005473566159,0.025
"323",52,"M_15-24",0.411216688480256,0.025
"324",53,"M_15-24",0.423511069568809,0.025
"325",54,"M_15-24",0.432562018641645,0.025
"326",55,"M_15-24",0.440152949518612,0.025
"327",56,"M_15-24",0.448383830862354,0.025
"328",57,"M_15-24",0.456275574115262,0.025
"329",58,"M_15-24",0.464233471272862,0.025
"330",59,"M_15-24",0.472830098552991,0.025
"331",60,"M_15-24",0.479919995389843,0.025
"332",61,"M_15-24",0.48768943343602,0.025
"333",62,"M_15-24",0.495291426126716,0.025
"334",63,"M_15-24",0.503484487874896,0.025
"335",64,"M_15-24",0.511018627530256,0.025
"336",65,"M_15-24",0.518118022100686,0.025
