"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000156069187907808,0.025
"2",11,"F_15-24",0.00164808023811546,0.025
"3",12,"F_15-24",0.00481635856309964,0.025
"4",13,"F_15-24",0.00923625868100149,0.025
"5",14,"F_15-24",0.0149196913421752,0.025
"6",15,"F_15-24",0.0217283325687943,0.025
"7",16,"F_15-24",0.0304748796038756,0.025
"8",17,"F_15-24",0.039581376935868,0.025
"9",18,"F_15-24",0.0501632628221549,0.025
"10",19,"F_15-24",0.0605716665122019,0.025
"11",20,"F_15-24",0.0711195951360199,0.025
"12",21,"F_15-24",0.0827153764904405,0.025
"13",22,"F_15-24",0.0940225460190567,0.025
"14",23,"F_15-24",0.105172237118407,0.025
"15",24,"F_15-24",0.114833960653553,0.025
"16",25,"F_15-24",0.121773150186976,0.025
"17",26,"F_15-24",0.127788450480062,0.025
"18",27,"F_15-24",0.133871982833429,0.025
"19",28,"F_15-24",0.140339787849416,0.025
"20",29,"F_15-24",0.147265050534372,0.025
"21",30,"F_15-24",0.154601840400719,0.025
"22",31,"F_15-24",0.160991964358372,0.025
"23",32,"F_15-24",0.16758236303551,0.025
"24",33,"F_15-24",0.173816157328748,0.025
"25",34,"F_15-24",0.178896774638526,0.025
"26",35,"F_15-24",0.183746255478633,0.025
"27",36,"F_15-24",0.18815440321701,0.025
"28",37,"F_15-24",0.193138157639536,0.025
"29",38,"F_15-24",0.198116025184276,0.025
"30",39,"F_15-24",0.203868944096396,0.025
"31",40,"F_15-24",0.209470152687661,0.025
"32",41,"F_15-24",0.21525028500645,0.025
"33",42,"F_15-24",0.220857050011263,0.025
"34",43,"F_15-24",0.227151596305872,0.025
"35",44,"F_15-24",0.233431558648161,0.025
"36",45,"F_15-24",0.239825350860991,0.025
"37",46,"F_15-24",0.246235039941541,0.025
"38",47,"F_15-24",0.254090852862218,0.025
"39",48,"F_15-24",0.261025457601309,0.025
"40",49,"F_15-24",0.267818313992834,0.025
"41",50,"F_15-24",0.276108914489528,0.025
"42",51,"F_15-24",0.284193784868814,0.025
"43",52,"F_15-24",0.292918764488179,0.025
"44",53,"F_15-24",0.301658106725641,0.025
"45",54,"F_15-24",0.31194481626993,0.025
"46",55,"F_15-24",0.319465527446014,0.025
"47",56,"F_15-24",0.327830369542214,0.025
